"jurisdiction","weekEndingDate","totalConfC19NewAdm","totalConfFluNewAdm","totalConfRSVNewAdm","totalConfC19NewAdmPer100k","totalConfFluNewAdmPer100k","totalConfRSVNewAdmPer100k","totalConfC19NewAdmPer100kLevel","totalConfFluNewAdmPer100kLevel","totalConfRSVNewAdmPer100kLevel","totalConfC19NewAdmHospRep","totalConfFluNewAdmHospRep","totalConfRSVNewAdmHospRep","totalConfC19NewAdmPercHospRep","totalConfFluNewAdmPercHospRep","totalConfRSVNewAdmPercHospRep"
"AR","2026-04-18","15","3","8","0.49","0.10","0.26","Very Low","Very Low","Very Low",,,,,,
"UT","2026-04-18","2","5","5","0.06","0.15","0.15","Very Low","Very Low","Very Low",,,,,,
"FL","2026-04-18","115","157","124","0.51","0.70","0.55","Very Low","Very Low","Very Low",,,,,,
"WV","2026-04-18","17","29","73","0.96","1.64","4.12","Very Low","Low","High",,,,,,
"AK","2026-04-18","2","1","5","0.28","0.14","0.70","Very Low","Very Low","Low",,,,,,
"AL","2026-04-18","48","21","27","0.94","0.41","0.53","Very Low","Very Low","Very Low",,,,,,
"MA","2026-04-18","44","41","77","0.63","0.59","1.10","Very Low","Very Low","Low",,,,,,
"NC","2026-04-18","80","13","43","0.75","0.12","0.40","Very Low","Very Low","Very Low",,,,,,
"SD","2026-04-18","4","5","15","0.44","0.55","1.64","Very Low","Very Low","Low",,,,,,
"IA","2026-04-18","13","16","32","0.41","0.50","1.00","Very Low","Very Low","Low",,,,,,
"VT","2026-05-02","0","0","7","0.00","0.00","1.08","Very Low","Very Low","Low",,,,,,
"DC","2026-05-02","2","1","1","0.30","0.15","0.15","Very Low","Very Low","Very Low",,,,,,
"IA","2026-05-02","8","11","22","0.25","0.34","0.69","Very Low","Very Low","Very Low",,,,,,
"AK","2026-05-02","2","3","2","0.28","0.42","0.28","Very Low","Very Low","Very Low",,,,,,
"MA","2026-05-02","29","30","60","0.41","0.43","0.86","Very Low","Very Low","Low",,,,,,
"NC","2026-05-02","73","15","67","0.68","0.14","0.62","Very Low","Very Low","Very Low",,,,,,
"SD","2026-05-02","3","5","17","0.33","0.55","1.86","Very Low","Very Low","Low",,,,,,
"DE","2026-05-02","7","4","8","0.68","0.39","0.78","Very Low","Very Low","Low",,,,,,
"VA","2026-05-02","42","24","32","0.49","0.28","0.37","Very Low","Very Low","Very Low",,,,,,
