"jurisdiction","weekEndingDate","totalConfC19NewAdm","totalConfFluNewAdm","totalConfRSVNewAdm","totalConfC19NewAdmPer100k","totalConfFluNewAdmPer100k","totalConfRSVNewAdmPer100k","totalConfC19NewAdmPer100kLevel","totalConfFluNewAdmPer100kLevel","totalConfRSVNewAdmPer100kLevel","totalConfC19NewAdmHospRep","totalConfFluNewAdmHospRep","totalConfRSVNewAdmHospRep","totalConfC19NewAdmPercHospRep","totalConfFluNewAdmPercHospRep","totalConfRSVNewAdmPercHospRep"
"MS","2026-06-06","9","8","6","0.31","0.27","0.20","Very Low","Very Low","Very Low","84","84","84","80","80","80"
"NJ","2026-06-06","45","21","18","0.48","0.23","0.19","Very Low","Very Low","Very Low","82","82","82","96.47","96.47","96.47"
"VA","2026-06-06","11","12","15","0.13","0.14","0.17","Very Low","Very Low","Very Low","82","82","82","80.39","80.39","80.39"
"SC","2026-08-01","18","2","6","0.34","0.04","0.11","Very Low","Very Low","Very Low","60","60","60","80","80","80"
"MI","2026-08-01","5","7","1","0.05","0.07","0.01","Very Low","Very Low","Very Low","133","133","133","86.36","86.36","86.36"
"VI","2026-08-01",,,,,,,"Data Unavailable","Data Unavailable","Data Unavailable","0","0","0","0","0","0"
"AZ","2026-08-01","26","6","2","0.35","0.08","0.03","Very Low","Very Low","Very Low","86","86","86","86.87","86.87","86.87"
"CO","2026-08-01","10","2","1","0.17","0.03","0.02","Very Low","Very Low","Very Low","80","80","80","80","80","80"
"IL","2026-08-01","26","3","1","0.21","0.02","0.01","Very Low","Very Low","Very Low","152","152","152","76.77","76.77","76.77"
"NH","2026-08-01","3","3","1","0.21","0.21","0.07","Very Low","Very Low","Very Low","25","25","25","96.15","96.15","96.15"
"RI","2026-08-01","3","0","1","0.27","0.00","0.09","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"NM","2026-08-01","6","1","0","0.29","0.05","0.00","Very Low","Very Low","Very Low","40","40","40","81.63","81.63","81.63"
"USA","2026-08-01","1,754","643","312","0.52","0.19","0.09","Very Low","Very Low","Very Low","4,580","4,580","4,580","79.49","79.49","79.49"
"CT","2026-08-01","9","2","2","0.25","0.06","0.06","Very Low","Very Low","Very Low","31","31","31","96.88","96.88","96.88"
"GU","2026-08-01","3","0","0","1.95","0.00","0.00","Moderate","Very Low","Very Low","1","1","1","50","50","50"
"ME","2026-08-01","2","0","1","0.14","0.00","0.07","Very Low","Very Low","Very Low","34","34","34","91.89","91.89","91.89"
"TX","2026-08-01","275","61","34","0.90","0.20","0.11","Very Low","Very Low","Very Low","384","384","384","69.57","69.57","69.57"
"CO","2026-05-09","18","15","34","0.31","0.26","0.58","Very Low","Very Low","Very Low","81","81","81","81","81","81"
"NH","2026-05-09","4","2","5","0.29","0.14","0.36","Very Low","Very Low","Very Low","24","24","24","92.31","92.31","92.31"
"RI","2026-05-09","6","5","7","0.55","0.46","0.64","Very Low","Very Low","Very Low","10","10","10","83.33","83.33","83.33"
"NM","2026-05-09","6","10","2","0.29","0.48","0.10","Very Low","Very Low","Very Low","39","39","39","79.59","79.59","79.59"
